text,size
hoped,3
hosts,3
huddle,3
human,3
ian,3
id,3
ideal,3
identity,3
importantly,3
impression,3
increasingly,3
independence,3
initial,3
intended,3
intends,3
interactive,3
interesting,3
internationally,3
interviewed,3
introduced,3
investigated,3
jack,3
jbara,3
jean,3
jeff,3
joked,3
joy,3
keeps,3
kicked,3
kicks,3
kid,3
kleber,3
knocked,3
kristaps,3
krzyzewski,3
laid,3
las,3
launch,3
leaguewide,3
lean,3
lefty,3
lengthy,3
letdown,3
letters,3
lifetime,3
ligament,3
lineups,3
linked,3
lions,3
livingston,3
llc,3
load,3
loaded,3
lock,3
locking,3
longest,3
lou,3
louisville,3
loves,3
lowered,3
luke,3
mack,3
madness,3
maintain,3
martin,3
masai,3
mason,3
matched,3
matchups,3
math,3
matherjune,3
matt,3
mcl,3
meaning,3
meaningful,3
medal,3
memory,3
mens,3
mention,3
merchandise,3
merely,3
miamis,3
michigans,3
mills,3
milwaukees,3
mine,3
minus,3
mississippi,3
misstated,3
model,3
modern,3
nate,3
natural,3
nearby,3
needing,3
nighttime,3
nikola,3
noel,3
obama,3
obvious,3
offensively,3
officially,3
offseason,3
oh,3
oneonone,3
online,3
opinions,3
opportunities,3
oscar,3
outrebounded,3
overcame,3
overseas,3
painful,3
painted,3
partner,3
parts,3
peaceful,3
performer,3
persuaded,3
phone,3
picking,3
places,3
plain,3
playgendary,3
pointed,3
poole,3
poor,3
popular,3
popularity,3
praising,3
prayers,3
prepared,3
pressed,3
pressing,3
prestons,3
prevent,3
primarily,3
prime,3
probe,3
prodigy,3
produce,3
prominent,3
promised,3
property,3
protected,3
proud,3
publicly,3
punctuated,3
pursuing,3
puts,3
quest,3
quinerly,3
rally,3
realistic,3
reasonable,3
rebounded,3
receive,3
recover,3
recruited,3
recruits,3
reevaluated,3
refine,3
related,3
relax,3
relentless,3
replaced,3
replied,3
reports,3
rescue,3
residents,3
respected,3
respond,3
response,3
review,3
ride,3
rio,3
rodney,3
rolled,3
rolling,3
roughly,3
rout,3
ruled,3
rules,3
sacramentos,3
sacrifices,3
sad,3
sank,3
sarah,3
scores,3
scouting,3
sculpture,3
seams,3
seats,3
secondbest,3
seeded,3
seeming,3
semifinal,3
service,3
shared,3
sharp,3
shook,3
shoulders,3
shouldnt,3
shown,3
shuffled,3
sideline,3
signature,3
silence,3
silicon,3
silly,3
sinking,3
sister,3
skeptical,3
skills,3
slam,3
slept,3
slogan,3
slowed,3
smallball,3
smiled,3
snapped,3
soaring,3
software,3
sold,3
soreness,3
sound,3
southeast,3
sox,3
spain,3
sparked,3
speaking,3
speculation,3
spend,3
spokeswoman,3
spread,3
squad,3
stands,3
stanley,3
stared,3
starts,3
statistical,3
statistics,3
steal,3
steinberg,3
stemming,3
steps,3
stick,3
stops,3
strain,3
stream,3
streets,3
stretcher,3
student,3
substance,3
succeed,3
supporting,3
supportive,3
surprised,3
survive,3
swain,3
sweet,3
tag,3
